"word","word_count"
"deck",137
"product",4
"basic",34
"land",136
"cards),",2
"deck",137
"minimum",9
"deck",137
"size",20
"40",5
"cards.",81
"A",990
"limited",34
"deck",137
"duplicates",1
"card",1217
"included",22
"product.",2
"100.2c",1
"Commander",57
"decks",12
"subject",17
"additional",149
"deckbuilding",1
"restrictions",17
"requirements.",3
"See",1025
"rule",1655
"903,",11
"“Commander,”",1
"details.",1
"100.2d",1
"Some",233
"formats",6
"casual",35
"play",73
"variants",8
"players",220
"supplementary",14
"deck",137
"nontraditional",23
"Magic",89
"cards",605
"(see",274
"rule",1655
"108.2a).",1
"These",84
"supplementary",14
"decks",12
"deck",137
"construction",9
"rules.",21
"See",1025
"rule",1655
"717,",4
"“Attraction",4
"Cards;”",1
"rule",1655
"901,",14
"“Planechase;”",1
"rule",1655
"904,",9
"“Archenemy.”",8
"100.3.",1
"Some",233
"cards",605
"require",24
"coins",2
"traditional",7
"dice.",2
"Some",233
"casual",35
"variants",8
"require",24
"additional",149
"items,",1
"specially",3
"designated",24
"cards,",69
"nontraditional",23
"Magic",89
"cards,",69
"specialized",7
"dice.",2
"100.4.",3
"Each",149
"player",1827
"sideboard,",2
"additional",149
"cards",605
"player",1827
"modify",41
"deck",137
"games",34
"match.",2
"100.4a",1
"In",212
"constructed",11
"play,",10
"sideboard",8
"fifteen",5
"cards.",81
"The",750
"four-card",1
"limit",4
"(see",274
"rule",1655
"100.2a)",1
"applies",50
"combined",19
"deck",137
"sideboard.",5
"100.4b",1
"In",212
"limited",34
"play",73
"involving",9
"individual",14
"players,",18
"cards",605
"player’s",301
"card",1217
"pool",18
"included",22
"deck",137
"player’s",301
"sideboard.",5
"100.4c",1
"In",212
"limited",34
"play",73
"involving",9
"Two-Headed",38
"Giant",59
"multiplayer",93
"variant,",13
"cards",605
"team’s",24
"card",1217
"pool",18
"player’s",301
"deck",137
"team’s",24
"sideboard.",5
"100.4d",1
"In",212
"limited",34
"play",73
"involving",9
"multiplayer",93
"team",172
"variants,",3
"card",1217
"team’s",24
"card",1217
"pool",18
"player’s",301
"deck",137
"assigned",33
"sideboard",8
"players.",46
"Each",149
"player",1827
"sideboard;",1
"cards",605
"transferred",1
"players.",46
"100.5.",1
"If",1165
"deck",137
"cards,",69
"referred",17
"minimum",9
"deck",137
"size.",8
"There",35
"maximum",20
"deck",137
"size",20
"non-Commander",1
"decks.",8
"100.6.",7
"Most",14
"Magic",89
"tournaments",5
"(organized",1
"play",73
"activities",1
"players",220
"compete",8
"players",220
"win",12
"prizes)",1
"additional",149
"rules",305
"covered",5
"Magic:",15
"The",750
"Gathering",11
"Tournament",12
"Rules",24
"(found",2
"WPN.Wizards.com/en/resources/rules-documents).",2
"These",84
"rules",305
"limit",4
"cards,",69
"including",30
"barring",1
"cards",605
"sets.",1
"100.6a",1
"Tournaments",2
"consist",2
"series",11
"matches.",1
"A",990
"two-player",18
"match",13
"involves",6
"playing",27
"player",1827
"won",1
"games.",8
"A",990
"multiplayer",93
"match",13
"consists",16
"game.",181
"100.6b",1
"Players",27
"Magic",89
"Store",1
"&",2
"Event",3
"Locator",1
"Wizards.com/Locator",1
"tournaments",5
"area.",1
"100.7.",1
"Certain",9
"cards",605
"intended",2
"casual",35
"play",73
"features",3
"text",194
"aren’t",47
"covered",5
"rules.",21
"These",84
"include",42
"Mystery",1
"Booster",3
"playtest",1
"cards,",69
"promotional",5
"cards",605
"cards",605
"“Un-sets”",1
"printed",183
"silver",3
"border,",1
"cards",605
"Unfinity™",1
"expansion",11
"acorn",1
"symbol",117
"bottom",35
"card.",105
"101.",2
"The",750
"Magic",89
"Golden",2
"Rules",24
"101.1.",1
"Whenever",10
"card’s",93
"text",194
"directly",20
"contradicts",1
"rules,",9
"card",1217
"takes",35
"precedence.",3
"The",750
"card",1217
"overrides",2
"rule",1655
"applies",50
"specific",58
"situation.",1
"The",750
"exception",37
"player",1827
"concede",4
"game",484
"time",198
"(see",274
"rule",1655
"104.3a).",1
"101.2.",1
"When",84
"rule",1655
"effect",723
"directs",1
"happen,",5
"effect",723
"can’t",337
"happen,",5
"“can’t”",3
"effect",723
"takes",35
"precedence.",3
"Example:",276
"If",1165
"effect",723
"reads",59
"“You",68
"play",73
"additional",149
"land",136
"turn”",16
"reads",59
"“You",68
"can’t",337
"play",73
"lands",27
"turn,”",4
"effect",723
"precludes",5
"playing",27
"lands",27
"wins.",2
"101.2a",1
"Adding",2
"abilities",513
"objects",142
"removing",6
"abilities",513
"objects",142
"don’t",80
"fall",1
"rule.",9
"(See",177
"rule",1655
"113.10.)",1
"101.3.",1
"Any",98
"instruction",23
"that’s",167
"impossible",8
"perform",21
"ignored.",6
"(In",3
"card",1217
"consequences",1
"this;",1
"doesn’t,",6
"there’s",3
"effect.)",1
"101.4.",5
"If",1165
"multiple",187
"players",220
"choices",49
"and/or",101
"actions",137
"time,",34
"active",146
"player",1827
"(the",11
"player",1827
"is)",1
"makes",27
"choices",49
"required,",3
"player",1827
"(usually",12
"player",1827
"seated",22
"active",146
"player’s",301
"left)",2
"makes",27
"choices",49
"required,",3
"remaining",35
"nonactive",22
"players",220
"order.",47
"Then",56
"actions",137
"happen",36
"simultaneously.",15
"This",265
"rule",1655
"referred",17
"“Active",1
"Player,",4
"Nonactive",4
"Player",11
"(APNAP)",1
"order”",1
"rule.",9
"Example:",276
"A",990
"card",1217
"reads",59
"“Each",5
"player",1827
"sacrifices",8
"creature.”",22
"First,",17
"active",146
"player",1827
"chooses",110
"creature",1050
"control.",45
"Then",56
"nonactive",22
"players,",18
"order,",15
"chooses",110
"creature",1050
"control.",45
"Then",56
"creatures",224
"chosen",113
"sacrificed",12
"simultaneously.",15
"101.4a",1
"If",1165
"effect",723
"player",1827
"choose",191
"card",1217
"hidden",20
"zone,",64
"hand",101
"library,",35
"cards",605
"remain",32
"they’re",37
"chosen.",18
"However,",40
"player",1827
"face-down",91
"card",1217
"choosing.",1
"101.4b",1
"A",990
"player",1827
"choices",49
"previous",36
"players",220
"choice,",13
"101.4a.",1
"101.4c",1
"If",1165
"player",1827
"choice",60
"time,",34
"player",1827
"makes",27
"choices",49
"specified.",4
"If",1165
"specified,",6
"player",1827
"chooses",110
"order.",47
"101.4d",1
"If",1165
"choice",60
"nonactive",22
"player",1827
"active",146
"player,",102
"nonactive",22
"player",1827
"earlier",9
"order,",15
"choice,",13
"APNAP",20
"restarted",7
"outstanding",1
"choices.",6
"101.4e",1
"If",1165
"multiple",187
"players",220
"choices",49
"actions",137
"starting",77
"game,",186
"starting",77
"player",1827
"considered",53
"active",146
"player",1827
"player",1827
"considered",53
"nonactive",22
"player.",64
"102.",2
"Players",27
"102.1.",2
"A",990
"player",1827
"people",2
"game.",181
"The",750
"active",146
"player",1827
"player",1827
"is.",9
"The",750
"players",220
"nonactive",22
"players.",46
"102.2.",1
"In",212
"two-player",18
"game,",186
"player’s",301
"opponent",54
"player.",64
"102.3.",3
"In",212
"multiplayer",93
"game",484
"teams,",9
"player’s",301
"teammates",4
"players",220
"team,",11
"player’s",301
"opponents",31
"players",220
"team.",14
"102.4.",1
"A",990
"spell",781
"ability",1447
"term",44
"“your",3
"team”",2
"shorthand",6
"“you",1
"and/or",101
"teammates.”",1
"In",212
"game",484
"isn’t",128
"multiplayer",93
"game",484
"teams,",9
"“your",3
"team”",2
"means",272
"“you.”",1
"103.",2
"Starting",7
"Game",17
"103.1.",3
"At",26
"start",25
"game,",186
"players",220
"determine",65
"choose",191
"takes",35
"turn.",98
"In",212
"game",484
"match",13
"(including",11
"single-game",1
"match),",1
"players",220
"mutually",6
"agreeable",2
"method",4
"(flipping",1
"coin,",2
"rolling",7
"dice,",2
"etc.)",3
"so.",26
"In",212
"match",13
"games,",9
"loser",4
"previous",36
"game",484
"chooses",110
"takes",35
"turn.",98
"If",1165
"previous",36
"game",484
"draw,",4
"player",1827
"choice",60
"game",484
"makes",27
"choice",60
"game.",181
"The",750
"player",1827
"chosen",113
"starting",77
"player.",64
"The",750
"game’s",4
"default",18
"begins",18
"starting",77
"player",1827
"proceeds",6
"clockwise.",1
"103.1a",1
"In",212
"game",484
"shared",29
"team",172
"option,",14
"starting",77
"team",172
"starting",77
"player.",64
